Math,Physics,Chemistry,Biology,Coding,Engineering,Interest
4,5,1,3,2,1,Environmental Science
5,3,1,5,3,3,Software Development
4,3,5,4,2,4,Biotechnology
5,3,5,5,2,1,Biotechnology
3,2,4,4,5,4,Software Development
4,3,1,3,2,4,Astronomy
2,5,2,3,4,3,Mechanical Engineering
4,4,4,1,4,5,Software Development
2,3,5,5,2,4,Medicine
5,2,4,4,2,3,Environmental Science
2,1,4,5,4,5,Environmental Science
2,2,3,5,5,5,Environmental Science
4,3,2,4,3,1,Software Development
3,1,4,1,3,5,Software Development
5,3,1,5,3,3,Software Development
2,2,3,5,5,5,Environmental Science
4,4,4,1,2,4,Mechanical Engineering
1,1,3,4,5,4,Medicine
4,5,2,4,2,5,Astronomy
4,3,5,4,2,4,Biotechnology
2,5,4,5,4,5,Medicine
5,4,2,2,1,5,Mechanical Engineering
4,4,3,4,5,5,Environmental Science
2,2,5,3,4,5,Environmental Science
5,5,5,5,4,4,Astronomy
4,4,2,2,4,5,Software Development
3,4,5,3,3,1,Environmental Science
3,3,5,3,2,4,Astronomy
3,4,5,5,5,3,Software Development
4,5,5,3,3,5,Software Development
1,5,3,5,1,3,Biotechnology
5,4,5,3,4,1,Software Development
5,3,5,2,5,4,Astronomy
5,3,5,3,3,4,Medicine
4,2,4,5,2,5,Biotechnology
4,3,2,5,2,1,Environmental Science
3,4,1,4,5,5,Astronomy
5,3,4,5,3,1,Astronomy
2,3,3,5,4,5,Environmental Science
5,5,1,2,4,5,Mechanical Engineering
3,3,4,5,1,3,Environmental Science
4,4,3,2,4,4,Astronomy
2,1,4,3,1,1,Environmental Science
2,2,4,3,5,2,Biotechnology
4,2,5,5,1,3,Medicine
3,4,4,3,4,1,Astronomy
5,4,4,5,5,4,Biotechnology
5,3,5,3,3,4,Medicine
4,5,2,4,2,5,Astronomy
5,4,4,3,5,2,Software Development
5,4,4,5,5,4,Biotechnology
1,3,5,3,1,2,Medicine
4,4,2,1,5,5,Mechanical Engineering
2,5,4,5,2,4,Environmental Science
4,3,2,1,1,1,Astronomy
5,3,3,3,3,3,Environmental Science
2,1,4,5,3,2,Environmental Science
1,4,4,5,1,5,Mechanical Engineering
3,4,4,4,5,5,Astronomy
3,1,5,5,3,5,Medicine
4,5,4,3,3,3,Astronomy
1,4,3,4,5,4,Biotechnology
5,3,1,1,3,5,Mechanical Engineering
2,3,2,5,5,5,Environmental Science
1,3,5,5,3,5,Mechanical Engineering
3,5,1,2,2,3,Mechanical Engineering
1,1,4,5,5,5,Biotechnology
5,2,5,5,5,5,Biotechnology
3,4,1,4,5,5,Astronomy
3,1,3,4,1,1,Medicine
1,4,3,5,3,2,Biotechnology
4,5,5,2,4,2,Astronomy
3,4,1,5,4,2,Astronomy
5,1,4,4,4,2,Biotechnology
4,5,2,5,3,1,Astronomy
2,2,5,5,5,5,Medicine
2,3,3,5,1,4,Mechanical Engineering
4,4,2,1,5,5,Mechanical Engineering
2,5,4,5,4,5,Medicine
5,3,1,1,3,5,Mechanical Engineering
1,5,3,4,2,3,Medicine
2,2,4,3,3,5,Biotechnology
5,3,1,1,5,3,Software Development
4,3,2,1,1,1,Astronomy
5,3,1,5,3,4,Mechanical Engineering
5,2,2,4,4,2,Software Development
4,4,3,4,5,5,Environmental Science
5,3,3,5,3,4,Medicine
5,3,3,5,3,4,Medicine
3,2,3,4,5,1,Biotechnology
2,2,3,3,3,5,Biotechnology
3,4,4,4,2,2,Medicine
5,3,1,5,3,3,Software Development
2,1,4,5,3,2,Environmental Science
5,5,2,4,4,2,Software Development
5,5,3,2,2,5,Mechanical Engineering
1,5,5,3,1,4,Biotechnology
3,3,4,3,3,1,Software Development
5,3,2,1,3,2,Astronomy
5,3,2,3,2,4,Environmental Science
5,4,2,1,1,5,Mechanical Engineering
2,3,5,5,3,3,Medicine
4,5,3,5,5,1,Astronomy
4,1,5,3,5,4,Biotechnology
5,2,3,3,5,5,Software Development
3,5,5,5,1,1,Environmental Science
4,4,4,4,3,3,Astronomy
3,4,4,3,2,3,Biotechnology
1,4,3,5,3,2,Biotechnology
1,2,5,3,4,3,Biotechnology
2,3,4,4,2,2,Biotechnology
4,5,3,3,5,2,Software Development
4,4,3,2,4,4,Astronomy
1,3,5,5,3,5,Mechanical Engineering
2,2,4,3,5,2,Biotechnology
2,1,4,3,1,1,Environmental Science
3,2,1,4,3,5,Software Development
4,2,5,5,1,3,Medicine
1,5,3,4,2,1,Medicine
3,2,2,1,5,1,Software Development
4,5,4,4,4,3,Mechanical Engineering
1,5,3,3,5,4,Mechanical Engineering
4,3,1,3,3,4,Astronomy
1,5,5,3,4,1,Environmental Science
2,1,4,5,4,2,Biotechnology
4,4,4,1,2,4,Mechanical Engineering
3,4,1,5,4,4,Mechanical Engineering
1,4,3,5,3,2,Biotechnology
5,3,5,4,2,3,Environmental Science
4,4,2,2,4,5,Software Development
5,4,2,4,1,3,Astronomy
3,4,1,4,5,5,Astronomy
3,2,3,5,5,2,Environmental Science
5,4,1,2,5,5,Mechanical Engineering
5,1,3,5,5,3,Software Development
1,1,4,5,5,5,Biotechnology
2,4,3,3,5,4,Medicine
4,2,2,3,5,2,Environmental Science
1,2,5,5,2,3,Medicine
2,2,4,4,3,1,Environmental Science
4,5,2,5,3,1,Astronomy
4,2,5,5,1,3,Medicine
5,4,2,4,1,3,Astronomy
3,4,5,3,5,4,Software Development
3,1,5,5,3,5,Medicine
2,4,5,2,4,3,Mechanical Engineering
3,4,3,5,3,3,Medicine
1,4,4,2,2,3,Mechanical Engineering
3,4,4,3,2,3,Environmental Science
5,1,1,3,5,3,Software Development
2,1,4,5,4,5,Environmental Science
1,3,3,3,3,4,Mechanical Engineering
4,3,4,3,5,4,Medicine
2,5,1,4,4,4,Environmental Science
3,4,4,4,1,2,Astronomy
4,2,5,1,3,4,Software Development
1,3,3,3,3,4,Mechanical Engineering
4,3,1,3,3,4,Astronomy
1,2,5,3,1,3,Environmental Science
5,4,4,3,5,3,Mechanical Engineering
4,5,3,3,2,2,Astronomy
2,1,4,3,1,1,Environmental Science
5,4,4,3,3,4,Biotechnology
1,5,3,4,2,1,Medicine
5,1,1,3,5,3,Software Development
3,5,3,2,1,2,Astronomy
4,3,2,3,4,3,Mechanical Engineering
4,5,1,1,1,2,Astronomy
4,5,4,4,3,3,Medicine
1,5,5,3,4,1,Environmental Science
4,5,2,5,1,3,Environmental Science
3,1,3,1,3,1,Software Development
3,2,2,2,4,3,Software Development
2,1,4,5,4,5,Environmental Science
2,3,2,4,1,3,Environmental Science
5,4,4,5,5,5,Astronomy
5,4,4,3,5,2,Software Development
3,4,1,5,4,3,Mechanical Engineering
3,4,4,4,2,1,Astronomy
5,2,3,4,3,3,Medicine
2,5,1,4,4,4,Environmental Science
2,5,1,4,4,4,Environmental Science
5,3,5,5,2,1,Biotechnology
3,2,3,4,4,1,Biotechnology
4,1,4,3,3,4,Software Development
4,4,3,1,5,1,Software Development
5,5,3,4,1,2,Biotechnology
4,3,1,3,2,4,Astronomy
3,1,3,3,5,4,Medicine
5,3,4,4,3,3,Software Development
1,4,3,5,3,2,Biotechnology
4,3,3,3,1,1,Astronomy
5,4,3,3,5,3,Medicine
3,2,3,5,5,2,Environmental Science
4,4,2,3,1,4,Astronomy
1,5,4,3,2,3,Biotechnology
4,4,3,1,5,1,Software Development
1,5,4,3,2,1,Biotechnology
3,1,3,1,3,1,Software Development
2,3,2,5,5,5,Environmental Science
5,4,2,2,1,5,Mechanical Engineering
4,1,5,3,4,3,Software Development
3,4,1,2,3,3,Mechanical Engineering
3,5,4,5,2,5,Biotechnology
2,2,4,3,5,2,Biotechnology
4,4,2,5,4,1,Astronomy
5,4,4,5,4,4,Biotechnology
1,4,3,5,3,2,Biotechnology
5,5,3,2,4,3,Mechanical Engineering
4,5,5,3,3,5,Software Development
3,3,4,5,3,3,Mechanical Engineering
2,2,4,3,1,4,Medicine
5,3,5,4,2,3,Environmental Science
3,4,5,3,3,1,Environmental Science
4,4,3,1,3,1,Software Development
5,3,2,3,2,2,Environmental Science
3,3,4,5,3,3,Mechanical Engineering
1,5,3,5,1,3,Biotechnology
4,4,2,5,4,1,Astronomy
5,2,3,4,3,3,Medicine
5,2,3,4,3,3,Medicine
2,2,5,3,4,5,Environmental Science
3,2,5,4,4,5,Biotechnology
1,5,5,3,1,4,Biotechnology
3,3,4,3,3,1,Software Development
1,3,2,3,1,5,Environmental Science
1,3,3,3,3,4,Mechanical Engineering
1,5,4,3,2,3,Biotechnology
4,5,1,4,1,2,Astronomy
5,3,2,5,4,1,Environmental Science
2,2,4,4,3,1,Environmental Science
5,3,3,1,5,5,Software Development
4,3,2,1,1,1,Astronomy
5,3,3,4,3,1,Astronomy
5,1,1,4,5,3,Software Development
3,1,3,3,5,2,Software Development
4,5,5,4,4,3,Astronomy
2,1,4,5,3,1,Medicine
3,2,2,1,5,1,Software Development
5,2,1,3,3,1,Software Development
4,1,4,3,3,4,Software Development
2,4,3,3,5,5,Medicine
2,2,5,3,5,1,Medicine
4,5,5,2,4,2,Astronomy
3,4,5,3,3,1,Environmental Science
4,3,1,3,2,4,Astronomy
1,4,4,2,2,3,Mechanical Engineering
5,4,3,3,5,3,Medicine
4,3,2,4,3,1,Software Development
3,3,5,1,5,2,Software Development
3,1,3,1,3,1,Software Development
3,5,4,5,3,1,Environmental Science
2,5,1,4,5,4,Environmental Science
2,1,4,5,4,2,Biotechnology
5,2,3,3,5,5,Software Development
5,4,4,5,5,4,Biotechnology
1,2,1,3,1,2,Environmental Science
2,3,2,5,5,5,Environmental Science
3,2,4,4,5,4,Software Development
3,4,3,3,4,1,Medicine
2,4,5,4,2,5,Medicine
5,3,1,1,3,5,Mechanical Engineering
4,1,5,3,4,3,Software Development
5,3,4,2,5,2,Astronomy
2,1,4,5,4,2,Biotechnology
2,2,4,3,3,5,Biotechnology
5,1,4,3,3,1,Medicine
3,4,3,4,1,3,Astronomy
2,4,5,3,3,4,Mechanical Engineering
3,2,2,1,5,1,Software Development
5,4,4,3,5,2,Software Development
5,1,2,3,1,4,Environmental Science
3,4,1,5,4,4,Mechanical Engineering
2,5,2,3,4,3,Mechanical Engineering
3,1,4,1,3,4,Software Development
2,4,3,3,5,4,Medicine
3,4,1,5,4,3,Mechanical Engineering
3,5,5,5,1,1,Environmental Science
4,4,2,2,4,5,Software Development
1,5,3,4,2,1,Medicine
4,5,1,1,1,2,Astronomy
4,4,2,1,5,5,Mechanical Engineering
4,5,2,5,3,1,Astronomy
1,4,4,5,1,5,Medicine
1,1,3,4,5,4,Medicine
5,1,3,3,3,3,Software Development
3,3,5,3,2,4,Astronomy
4,5,4,1,1,4,Astronomy
4,4,4,1,4,5,Software Development
4,5,4,1,1,4,Astronomy
1,4,4,5,1,3,Biotechnology
4,5,2,3,3,3,Mechanical Engineering
5,3,2,1,3,2,Astronomy
1,4,3,4,5,2,Medicine
5,4,4,3,5,2,Software Development
2,1,4,5,3,2,Environmental Science
2,4,2,3,1,5,Environmental Science
5,4,5,4,3,5,Astronomy
2,4,2,3,1,5,Environmental Science
3,5,2,4,5,1,Environmental Science
2,4,5,1,1,3,Mechanical Engineering
4,5,3,5,5,1,Astronomy
3,3,4,5,1,3,Environmental Science
3,2,5,2,3,4,Software Development
3,2,3,4,4,1,Biotechnology
3,5,3,1,2,4,Astronomy
4,2,5,4,4,4,Software Development
3,3,4,5,3,3,Mechanical Engineering
5,3,4,3,4,3,Mechanical Engineering
5,1,3,5,4,3,Biotechnology
3,4,4,3,4,1,Astronomy
3,2,2,2,4,3,Software Development
1,4,3,3,3,5,Biotechnology
3,4,1,4,5,5,Astronomy
4,5,2,4,5,3,Environmental Science
5,3,3,3,3,3,Environmental Science
5,2,2,4,4,2,Software Development
1,3,3,3,3,4,Mechanical Engineering
4,2,3,5,5,1,Biotechnology
4,4,3,2,4,4,Astronomy
4,4,1,1,3,5,Mechanical Engineering
3,3,5,3,2,3,Astronomy
5,1,3,3,3,3,Software Development
4,4,2,1,5,5,Mechanical Engineering
4,5,5,2,4,2,Astronomy
3,2,5,2,3,4,Software Development
3,5,4,5,3,1,Environmental Science
1,2,5,3,1,1,Medicine
4,3,2,3,2,2,Astronomy
2,2,4,3,5,2,Biotechnology
2,3,4,4,2,2,Biotechnology
5,3,2,5,4,1,Environmental Science
2,1,4,5,3,2,Environmental Science
4,1,5,3,5,4,Biotechnology
1,4,3,4,5,4,Biotechnology
5,1,1,4,5,3,Software Development
5,5,3,2,4,3,Mechanical Engineering
5,4,5,3,4,1,Software Development
5,3,4,4,3,5,Environmental Science
4,4,3,2,4,4,Astronomy
1,4,4,5,1,5,Mechanical Engineering
1,5,3,4,2,1,Medicine
4,2,3,4,4,3,Biotechnology
5,3,4,2,5,2,Astronomy
5,3,1,5,5,3,Astronomy
4,3,2,3,2,2,Astronomy
5,3,5,3,3,4,Medicine
3,4,4,3,2,3,Biotechnology
5,4,5,4,3,5,Astronomy
4,4,4,4,3,3,Astronomy
2,1,3,3,1,5,Biotechnology
5,3,2,1,3,2,Astronomy
5,2,4,4,2,3,Environmental Science
5,2,2,4,4,2,Software Development
3,3,4,5,3,3,Mechanical Engineering
5,2,1,3,3,1,Software Development
1,5,2,5,2,1,Environmental Science
2,2,5,3,5,1,Medicine
1,5,5,3,3,3,Mechanical Engineering
5,4,5,3,4,1,Software Development
1,4,4,5,5,3,Biotechnology
3,4,3,3,4,1,Medicine
5,3,4,2,5,2,Astronomy
3,2,3,5,5,2,Environmental Science
4,5,4,4,3,3,Medicine
5,2,5,5,5,5,Biotechnology
4,5,3,3,1,1,Biotechnology
5,3,4,4,3,1,Software Development
2,2,4,3,5,2,Biotechnology
5,5,3,2,2,5,Mechanical Engineering
1,4,3,4,5,2,Medicine
4,5,5,4,4,3,Astronomy
2,4,3,3,5,5,Medicine
5,5,1,5,1,4,Mechanical Engineering
2,4,3,3,5,4,Medicine
4,3,1,3,3,4,Astronomy
5,5,4,2,2,3,Astronomy
4,4,3,2,4,4,Astronomy
3,4,4,3,2,3,Biotechnology
2,5,4,5,2,4,Environmental Science
3,5,3,2,4,5,Mechanical Engineering
3,4,4,3,4,5,Astronomy
5,4,2,2,1,5,Mechanical Engineering
2,2,4,3,1,4,Medicine
5,4,4,3,5,2,Software Development
3,1,3,3,5,2,Software Development
1,1,5,4,2,3,Medicine
5,5,1,2,4,5,Mechanical Engineering
5,2,5,5,5,5,Biotechnology
2,4,3,4,4,4,Medicine
1,4,4,5,1,5,Medicine
4,3,2,3,3,5,Mechanical Engineering
2,5,2,3,4,3,Mechanical Engineering
4,5,4,4,3,1,Medicine
5,3,5,3,3,4,Medicine
5,5,3,2,2,5,Mechanical Engineering
1,4,4,5,5,3,Biotechnology
5,2,5,5,5,5,Biotechnology
5,3,2,1,3,2,Astronomy
3,5,3,2,1,2,Astronomy
5,4,5,3,4,1,Software Development
1,2,5,3,4,3,Biotechnology
4,5,3,3,5,2,Software Development
3,3,5,3,2,3,Astronomy
5,4,4,5,4,4,Biotechnology
5,5,4,2,2,3,Astronomy
5,1,1,3,1,1,Environmental Science
4,1,5,3,5,4,Biotechnology
4,5,1,1,1,2,Astronomy
3,4,4,3,2,3,Environmental Science
3,4,1,5,4,4,Mechanical Engineering
3,2,5,4,4,5,Biotechnology
4,3,1,3,3,4,Astronomy
5,5,4,4,5,5,Medicine
4,3,2,1,1,1,Astronomy
2,1,4,5,4,2,Biotechnology
3,4,1,5,4,4,Mechanical Engineering
4,3,2,3,2,2,Astronomy
5,4,4,5,5,5,Astronomy
5,3,3,1,5,5,Software Development
1,5,5,3,3,3,Mechanical Engineering
3,5,2,4,5,1,Environmental Science
5,3,1,1,3,5,Mechanical Engineering
5,3,4,4,3,3,Software Development
4,3,1,1,5,5,Software Development
5,4,4,5,5,4,Biotechnology
4,4,4,4,3,3,Astronomy
4,5,3,3,1,1,Biotechnology
2,4,3,3,5,5,Medicine
1,4,3,3,3,5,Biotechnology
5,4,3,3,5,3,Medicine
4,2,3,5,5,1,Biotechnology
5,4,1,2,5,5,Mechanical Engineering
5,4,1,2,5,5,Mechanical Engineering
5,3,3,5,3,4,Medicine
5,3,5,2,5,4,Astronomy
5,4,2,1,1,5,Mechanical Engineering
5,3,5,3,5,1,Astronomy
2,5,5,5,1,2,Biotechnology
5,3,3,4,3,1,Astronomy
2,4,5,5,2,2,Medicine
3,2,3,4,4,1,Biotechnology
3,2,2,2,4,3,Software Development
4,4,2,2,4,5,Software Development
2,5,2,5,5,1,Environmental Science
2,4,5,5,2,2,Medicine
3,4,4,4,1,2,Astronomy
4,5,2,5,3,1,Astronomy
5,3,4,5,3,1,Astronomy
5,3,1,5,5,3,Astronomy
5,3,1,5,5,3,Astronomy
1,2,5,3,4,3,Biotechnology
4,3,5,4,2,5,Astronomy
3,4,1,5,4,4,Mechanical Engineering
3,4,4,4,2,2,Medicine
5,3,4,5,3,1,Astronomy
4,5,1,4,1,2,Astronomy
2,1,4,5,4,5,Environmental Science
3,4,5,3,3,1,Environmental Science
3,4,4,4,2,1,Astronomy
5,3,1,5,5,3,Astronomy
4,5,5,3,3,5,Software Development
2,5,4,5,4,5,Medicine
1,5,5,3,1,4,Biotechnology
4,4,2,2,4,5,Software Development
2,2,4,4,3,1,Environmental Science
5,3,2,1,3,2,Astronomy
4,4,3,5,1,1,Astronomy
4,5,3,3,1,1,Biotechnology
3,1,3,3,5,4,Medicine
5,1,2,3,1,4,Environmental Science
3,1,3,4,1,1,Medicine
4,4,2,3,1,4,Astronomy
5,1,1,4,5,3,Software Development
3,4,2,3,5,3,Environmental Science
4,2,3,4,4,1,Software Development
5,4,4,5,5,5,Astronomy
1,4,4,5,5,3,Biotechnology
4,4,4,4,3,3,Astronomy
4,2,5,1,3,4,Software Development
5,5,3,3,2,2,Medicine
5,1,1,3,1,1,Environmental Science
3,1,1,3,3,2,Software Development
5,5,2,4,4,2,Software Development
1,4,3,4,5,2,Medicine
2,2,3,5,5,5,Environmental Science
2,1,2,3,1,2,Environmental Science
5,4,4,4,2,1,Biotechnology
4,5,3,3,2,2,Astronomy
3,2,4,4,5,4,Software Development
5,5,5,4,5,4,Astronomy
5,4,1,2,3,3,Mechanical Engineering
5,4,4,5,5,5,Astronomy
2,4,3,4,4,4,Medicine
3,2,3,5,5,2,Environmental Science
4,5,2,5,3,1,Astronomy
5,3,5,3,3,4,Medicine
4,2,5,4,4,4,Software Development
3,4,4,3,4,1,Astronomy
5,4,5,4,3,5,Astronomy
3,5,3,4,1,1,Medicine
3,4,5,3,5,4,Software Development
5,4,4,5,5,4,Biotechnology
3,5,5,4,1,1,Environmental Science
4,4,3,1,3,1,Software Development
2,5,5,3,2,1,Medicine
4,5,3,5,5,1,Astronomy
1,5,4,5,1,1,Medicine
4,3,2,3,3,5,Mechanical Engineering
1,4,4,2,2,3,Mechanical Engineering
1,5,3,3,5,4,Mechanical Engineering
5,3,3,4,3,1,Astronomy
1,4,3,2,2,4,Mechanical Engineering
5,3,3,3,3,3,Environmental Science
2,2,5,3,5,1,Medicine
3,4,1,5,4,3,Mechanical Engineering
4,5,2,5,1,3,Environmental Science
4,5,2,3,3,3,Mechanical Engineering
4,2,5,4,4,4,Software Development
2,4,5,4,2,5,Medicine
1,3,5,3,1,2,Medicine
3,4,4,4,3,3,Biotechnology
5,3,1,5,3,3,Software Development
5,3,3,5,3,4,Medicine
1,1,5,4,2,3,Medicine
4,4,3,5,1,1,Astronomy
2,1,2,3,1,2,Environmental Science
3,4,1,5,4,4,Mechanical Engineering
2,1,4,5,3,2,Environmental Science
5,4,2,4,1,3,Astronomy
2,2,4,4,3,1,Environmental Science
1,5,3,4,2,3,Medicine
5,4,2,4,1,3,Astronomy
3,4,3,4,1,3,Astronomy
4,3,5,2,1,5,Mechanical Engineering
4,2,4,5,2,5,Biotechnology
5,5,3,3,2,2,Medicine
1,4,3,2,2,4,Mechanical Engineering
3,4,5,5,5,3,Software Development
5,3,5,5,3,1,Medicine
3,4,5,5,5,3,Software Development
2,5,2,3,4,3,Mechanical Engineering
3,4,4,3,4,5,Astronomy
5,4,4,5,4,4,Biotechnology
2,5,1,4,4,4,Environmental Science
3,3,5,3,2,4,Astronomy
2,2,3,5,5,5,Environmental Science
3,4,4,4,3,3,Biotechnology
5,1,2,3,1,4,Environmental Science
5,3,2,3,2,2,Environmental Science
4,4,5,1,3,3,Software Development
3,5,3,2,4,5,Mechanical Engineering
4,1,5,3,5,4,Biotechnology
4,5,5,5,5,5,Mechanical Engineering
5,1,1,4,5,3,Software Development
4,5,4,4,4,3,Mechanical Engineering
4,5,2,5,1,3,Environmental Science
5,1,3,5,4,3,Biotechnology
5,1,1,3,1,1,Environmental Science
5,1,1,3,5,3,Software Development
5,3,2,3,2,4,Environmental Science
2,3,2,5,5,5,Environmental Science
2,1,4,5,4,2,Biotechnology
5,5,1,2,4,5,Mechanical Engineering
4,5,2,5,1,3,Environmental Science
5,4,3,3,3,5,Medicine
1,5,3,4,2,1,Medicine
5,3,5,5,3,4,Mechanical Engineering
1,5,1,1,1,3,Mechanical Engineering
5,2,5,5,5,5,Biotechnology
1,4,3,5,3,2,Biotechnology
5,4,3,3,5,3,Medicine
5,4,4,5,5,4,Biotechnology
4,5,2,4,5,3,Environmental Science
4,5,2,5,1,3,Environmental Science
2,5,1,4,5,4,Environmental Science
1,4,4,2,2,3,Mechanical Engineering
2,5,1,4,4,4,Environmental Science
2,4,5,4,2,5,Medicine
1,1,3,4,5,4,Medicine
5,1,4,3,3,1,Medicine
2,3,5,5,3,3,Medicine
3,4,4,4,2,2,Medicine
5,5,1,5,1,4,Mechanical Engineering
4,4,5,3,5,1,Software Development
4,5,5,3,3,5,Software Development
2,5,2,3,4,3,Mechanical Engineering
5,1,2,3,5,3,Environmental Science
4,5,4,1,1,4,Astronomy
1,5,3,3,5,4,Mechanical Engineering
5,3,2,5,4,1,Environmental Science
3,5,3,2,4,5,Mechanical Engineering
5,1,1,3,1,1,Environmental Science
3,2,5,2,3,4,Software Development
4,3,2,1,1,1,Astronomy
4,3,1,3,3,4,Astronomy
2,4,5,1,1,3,Mechanical Engineering
1,3,2,3,1,5,Environmental Science
3,3,5,1,5,2,Software Development
1,2,5,3,1,3,Environmental Science
2,4,5,1,1,3,Mechanical Engineering
1,5,3,5,1,3,Biotechnology
3,1,4,1,3,5,Software Development
3,2,4,4,2,1,Biotechnology
1,5,5,3,1,4,Biotechnology
2,5,2,3,4,3,Mechanical Engineering
2,5,2,5,5,1,Environmental Science
5,1,2,3,1,4,Environmental Science
3,1,3,1,3,1,Software Development
1,5,3,5,1,3,Biotechnology
1,4,3,4,5,2,Medicine
5,5,4,4,5,5,Medicine
2,3,5,5,2,4,Medicine
4,1,4,3,2,2,Biotechnology
4,5,5,2,4,2,Astronomy
1,4,4,2,2,3,Mechanical Engineering
4,3,2,1,1,1,Astronomy
3,3,4,5,1,3,Environmental Science
5,4,5,4,3,5,Astronomy
5,2,3,3,5,5,Software Development
1,4,4,2,2,3,Mechanical Engineering
3,4,5,3,3,1,Environmental Science
2,4,3,3,5,5,Medicine
5,3,1,5,3,3,Software Development
5,3,1,1,3,5,Mechanical Engineering
3,3,4,5,3,3,Mechanical Engineering
3,1,3,3,5,4,Medicine
5,4,5,3,3,5,Software Development
3,5,4,5,2,5,Biotechnology
1,4,3,5,3,2,Biotechnology
2,5,2,3,1,5,Mechanical Engineering
5,4,2,4,1,3,Astronomy
3,3,4,5,3,3,Mechanical Engineering
2,2,5,5,5,5,Medicine
3,1,4,2,4,5,Software Development
5,2,4,4,2,3,Environmental Science
3,4,4,4,5,5,Astronomy
1,4,3,4,5,2,Medicine
5,5,2,1,4,5,Mechanical Engineering
4,5,2,3,3,3,Mechanical Engineering
4,4,3,1,5,1,Software Development
4,5,2,4,5,3,Environmental Science
5,3,5,5,2,1,Biotechnology
3,3,4,5,1,3,Environmental Science
3,5,3,2,4,5,Mechanical Engineering
4,4,4,1,2,4,Mechanical Engineering
1,1,4,5,5,5,Biotechnology
3,5,1,5,5,1,Environmental Science
5,3,5,5,2,1,Biotechnology
4,4,3,2,4,4,Astronomy
5,3,2,5,4,1,Environmental Science
3,1,1,3,3,2,Software Development
5,3,4,4,3,3,Software Development
2,3,3,5,1,4,Mechanical Engineering
2,4,3,3,5,4,Medicine
3,3,5,1,5,2,Software Development
5,4,3,3,3,5,Medicine
5,3,2,3,2,4,Environmental Science
4,4,4,1,2,4,Mechanical Engineering
2,5,2,3,1,5,Mechanical Engineering
5,5,5,4,5,4,Astronomy
3,1,5,5,3,5,Medicine
4,3,5,4,2,4,Biotechnology
5,5,3,2,2,5,Mechanical Engineering
3,5,1,2,2,3,Mechanical Engineering
3,5,5,5,1,1,Environmental Science
4,5,1,3,2,1,Environmental Science
3,5,1,5,5,4,Mechanical Engineering
